i,Variety,BinName,Grower,Block,FilledTime,EmptiedTime,ElapsedTime,ElapsedSeconds,EndMoisture,Buyer,ShippedOn,CertWgt,Acceptable
1542,Chandler,B10,60117,18288 Duncas,5/05/2018 19:35,5/07/2018 12:13,13:21:16,48076,5.9,2598,7/05/2018,7690,yes
1543,Chandler,B11,60117,18288 Duncas,5/05/2018 19:35,5/07/2018 12:16,13:15:30,47730,5.8,2598,7/05/2018,7690,yes
1544,Chandler,B12,60117,18288 Duncas,5/05/2018 19:35,5/07/2018 12:19,14:59:31,53971,4.2,2598,7/05/2018,7690,yes
1545,Chandler,C01,60117,18289 Duncans,5/05/2018 19:35,5/07/2018 12:35,30:22:34,109354,3.3,2303,7/05/2018,7710,yes
1546,Chandler,C02,60117,18289 Duncans,5/05/2018 19:35,5/07/2018 12:40,28:43:18,103398,5.4,2303,7/05/2018,7710,yes
1547,Chandler,C03,60117,18290 Duncans,5/05/2018 19:35,5/07/2018 12:47,29:00:06,104406,4.4,2073,7/05/2018,7510,yes
1548,Chandler,C04,60117,18290 Duncans,5/05/2018 19:35,5/07/2018 13:34,28:23:33,102213,5.1,2073,7/05/2018,7510,yes
1549,Chandler,C06,60117,18291 Wye,5/05/2018 19:35,5/07/2018 14:01,28:14:47,101687,2.6,5035,7/05/2018,8230,yes
1550,Chandler,C07,60117,18291 Wye,5/07/2018 14:08,5/07/2018 14:09,,0,5.5,5035,7/05/2018,8230,yes
1551,Chandler,C08,60117,18291 Wye,5/05/2018 19:35,5/07/2018 14:17,42:41:45,153705,5.5,5035,7/05/2018,8230,yes
1552,Lara,D02,30424,18133 Pump + 18134 Frey Sth,4/16/2018 3:26 AM,4/17/2018 9:53 AM,25:14:19,90859,5.6,2353,17/04/2018,8040,yes
1553,Vina,D03,MOR17,18136 MOR 11,4/16/2018 3:27 AM,4/17/2018 12:04 PM,22:54:49,82489,5,3552,17/04/2018,9730,yes
1554,Vina,D04,MOR17,18136 MOR 11,4/16/2018 3:27 AM,4/17/2018 12:11 PM,22:55:42,82542,5,3552,17/04/2018,9730,yes
1555,Vina,D05,MOR17,18137 MOR 11,4/16/2018 3:28 AM,4/17/2018 12:32 PM,22:20:13,80413,3,3557,17/04/2018,6020,yes
1556,Vina,D09,MOR17,18137 MOR 11,4/16/2018 3:28 AM,4/17/2018 12:35 PM,33:07:55,119275,3.1,3557,17/04/2018,6020,yes
1557,Chandler,D06,NUT17,C21,4/16/2018 4:45 AM,4/17/2018 2:43 PM,11:13:23,40403,4.8,5339,17/04/2018,10400,yes
1558,Chandler,D07,NUT17,C21,4/16/2018 4:45 AM,4/17/2018 3:02 PM,14:08:07,50887,5.5,3038,17/04/2018,8690,yes
1559,Chandler,D08,NUT17,C21,4/16/2018 4:45 AM,4/17/2018 3:08 PM,11:20:09,40809,5.5,3038,17/04/2018,8690,yes
1560,Chandler,F01,NUT17,C21,4/16/2018 4:45 AM,4/18/2018 2:15 AM,12:05:19,43519,6.2,3338,18/04/2018,8410,yes
1561,Chandler,F02,NUT17,C21,4/16/2018 4:45 AM,4/18/2018 2:20 AM,10:30:27,37827,5.8,3338,18/04/2018,8410,yes
1562,Chandler,F03,NUT17,C22,4/16/2018 4:47 AM,4/18/2018 3:05 AM,11:25:52,41152,6.3,3038,18/04/2018,8600,yes
1563,Chandler,F04,NUT17,C22,4/16/2018 4:47 AM,4/18/2018 3:10 AM,11:27:39,41259,6.6,3038,18/04/2018,8600,yes
1564,Chandler,D10,NUT17,C22,4/16/2018 4:47 AM,4/17/2018 3:21 PM,10:20:49,37249,2.6,3038,17/04/2018,8690,yes
1565,Chandler,F05,NUT17,C23,4/16/2018 5:51 AM,4/18/2018 3:45 AM,8:52:10,31930,6.8,2080,18/04/2018,8640,yes
1566,Chandler,F06,NUT17,C23,4/16/2018 5:51 AM,4/18/2018 3:51 AM,9:24:00,33840,7.3,2080,18/04/2018,8640,yes
1567,Chandler,F10,NUT17,C23,4/16/2018 5:51 AM,4/18/2018 8:40 AM,0:07:23,443,7.9,5577,18/04/2018,9640,yes
1568,Chandler,F11,NUT17,C23,4/16/2018 5:51 AM,4/18/2018 2:34 AM,44:42:47,160967,7.9,3338,18/04/2018,8410,yes
1569,Chandler,B12,NUT17,C19,4/16/2018 10:22 AM,4/16/2018 3:25 PM,5:03:16,18196,7.5,5377,16/04/2018,9080,yes
1570,Chandler,B10,NUT17,C19,4/16/2018 10:22 AM,4/16/2018 3:22 PM,5:00:09,18009,7.3,5377,16/04/2018,9080,yes
1571,Chandler,B09,NUT17,C19,4/16/2018 10:22 AM,4/16/2018 3:19 PM,4:57:26,17846,7.5,5377,16/04/2018,9080,yes
1572,Chandler,B02,NUT17,C19,4/16/2018 10:22 AM,4/16/2018 2:01 PM,3:39:35,13175,3.3,5500,16/04/2018,10420,yes
1573,Chandler,F07,NUT17,C19,4/16/2018 10:22 AM,4/18/2018 8:21 AM,8:00:26,28826,7.3,5577,18/04/2018,9640,yes
1574,Chandler,F08,NUT17,C19,4/18/2018 8:28 AM,4/18/2018 8:29 AM,,0,7.8,5577,18/04/2018,9640,yes
1575,Vina,E01,NUT17,C 388-391 + 396-399,4/16/2018 10:46 AM,4/17/2018 11:42 AM,9:13:04,33184,5.4,3923,17/04/2018,6460,yes
1576,Vina,E02,NUT17,C 388-391 + 396-399,4/16/2018 10:43 PM,4/16/2018 10:45 PM,0:01:48,108,2.5,3923,17/04/2018,6460,yes
1577,Chandler,E03,NUT17,C24,4/16/2018 11:51 AM,4/17/2018 3:34 PM,10:41:05,38465,6.5,3907,17/04/2018,9880,yes
1578,Chandler,E04,NUT17,C24,4/16/2018 11:51 AM,4/17/2018 3:41 PM,11:50:08,42608,6.7,3907,17/04/2018,9880,yes
1579,Chandler,E05,NUT17,C24,4/16/2018 11:51 AM,4/17/2018 3:59 PM,9:56:48,35808,6.3,2753,17/04/2018,8670,yes
1580,Chandler,E06,NUT17,C25,4/16/2018 12:13 PM,4/17/2018 4:04 PM,12:04:00,43440,6.7,2753,17/04/2018,8670,yes
1581,Chandler,E07,NUT17,C25,4/16/2018 2:11 PM,4/17/2018 4:25 PM,9:27:19,34039,6.3,3335,17/04/2018,8760,yes
1582,Chandler,E08,NUT17,C25,4/16/2018 2:11 PM,4/17/2018 4:32 PM,10:40:26,38426,3.3,3335,17/04/2018,8760,yes
